DDBJ/ENA/GenBank Accession,UBA Genome ID,SRA Bin ID,Genome Quality,CheckM Completeness,CheckM Contamination,CheckM Strain Heterogeneity,NCBI Organism Name,SSU Length (bp),SSU Percent Identity (top hit),SSU SILVA Taxonomy (top hit),SSU Top Hit in SILVA,Genome Size (bp),GC,Coverage,Bases >5x Coverage (%),No. Ambiguous Bases,No. Contigs,No. Scaffolds,No. Predicted Genes,Coding density,Longest Contig (bp),Longest Scaffold (bp),Mean Contig Length (bp),Mean Scaffold Length (bp),N50 (contigs),N50 (scaffolds),Translation Table,Scaffolds Removed by Filtering,Standard tRNAs,Selenocysteine tRNAs (TCA),tRNAs Decoding Standard 20 AA,Total tRNAs,Percent PG (relative to NCBI genomes),CheckM Marker Lineage,CheckM # genomes,CheckM # marker sets,CheckM # markers,CheckM Insertion Branch ID
DCZO00000000,UBA2082,SRX806390,Near complete,93.18,2.78,0,Nitrospira sp. UBA2082 [genus],,,,,3563855,57.89324472,25.5,99.96455511,11862,156,37,3574,0.880236991,256731,435766,22769,96320,51480,247396,11,26,18,0,41,41,0.003772,k__Bacteria (UID3187),2258,110,181,UID3195
DCZN00000000,UBA2083,SRX806390,Medium,87.32,2.78,0,Nitrospira sp. UBA2083 [genus],,,,,4457833,55.293491,11.91,98.46156636,45943,580,139,4639,0.84123766,100603,196180,7606,32070,23599,60992,11,131,18,0,36,37,0.002829,k__Bacteria (UID3187),2258,110,181,UID3195
DFWR00000000,UBA4129,SRX731627,Medium,80.75,4.55,0,Nitrospira sp. UBA4129 [genus],420,100,Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Nitrospira;uncultured bacterium,JQ180417.2.1334,3464765,59.16655317,7.34,80.49608443,6644,468,389,4147,0.872218462,46049,46086,7389,8906,11178,12380,11,7,13,0,19,20,0.00081,k__Bacteria (UID3187),2258,110,181,UID3195
DIHK00000000,UBA5698,SRX806415,Near complete,95,3.86,0,Nitrospira sp. UBA5698 [genus],,,,,4375576,55.0605929,75.22,99.98567277,27212,171,73,4367,0.860515964,239999,316460,25429,59939,49126,94806,11,29,19,0,41,42,0.001105,k__Bacteria (UID3187),2258,110,181,UID3195
DIHJ00000000,UBA5699,SRX806414,Near complete,90.3,3.64,0,Nitrospira sp. UBA5699 [genus],,,,,3446290,62.40008944,18.49,99.72046465,38492,416,125,3477,0.858497108,84067,150013,8191,27570,19705,44861,11,17,17,0,34,35,0.005404,k__Bacteria (UID3187),2258,110,181,UID3195
DIHG00000000,UBA5702,SRX806416,Near complete,94.09,3.86,0,Nitrospira sp. UBA5702 [genus],1186,100,Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Nitrospira;uncultured bacterium,FJ439824.1.1259,4321782,55.0183167,82.58,99.9741158,48905,277,110,4368,0.849357973,125465,224596,15425,39288,30169,71681,11,67,19,0,43,43,0.001105,k__Bacteria (UID3187),2258,110,181,UID3195
DJMO00000000,UBA6488,ERX633342,Medium,82.23,1.82,0,Nitrospira sp. UBA6488 [genus],,,,,2688141,57.8387454,14.42,98.17248413,230,98,95,2769,0.892495595,135124,135126,27427,28296,59156,62961,11,13,19,0,40,40,0.005482,k__Bacteria (UID3187),2258,110,181,UID3195
DJMJ00000000,UBA6493,ERX633347,Medium,81.58,0,0,Nitrospira sp. UBA6493 [genus],,,,,2695352,57.92929428,35.57,99.94612813,68,52,52,2735,0.895503073,207318,207322,51832,51833,93940,93942,11,2,17,0,35,36,0.005482,k__Bacteria (UID203),5449,57,103,UID3195
DBNR00000000,UBA667,SRX357497,Medium,76.94,1.36,0,Nitrospira sp. UBA667 [genus],,,,,2978562,59.27290886,47.85,99.90801693,12799,623,384,3373,0.865362883,45342,45843,4760,7756,7152,10223,11,53,18,0,35,36,0.000694,k__Bacteria (UID3187),2258,110,181,UID3195
DKBD00000000,UBA6909,ERX633356,Medium,86.53,2.55,20,Nitrospira sp. UBA6909 [genus],,,,,3141186,57.10658321,30.41,99.76811371,4735,349,284,3438,0.864383389,44030,47824,8986,11060,14419,17950,11,23,16,0,31,31,0.003434,k__Bacteria (UID3187),2258,110,181,UID3195
DKTC00000000,UBA7240,SRX675970,Medium,70.03,2.73,0,Nitrospira sp. UBA7240 [genus],468,100,Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Nitrospira;uncultured bacterium,JQ180417.2.1334,3353087,59.55756339,7.08,77.3125026,5534,483,428,4033,0.875311019,41672,41714,6930,7834,10201,10405,11,6,15,0,21,21,0.000787,k__Bacteria (UID3187),2258,110,181,UID3195
DKNB00000000,UBA7399,SRX332015,Medium,79.3,1.46,28.57,Gallionellales bacterium UBA7399 [order],,,,,1086285,51.26914426,11.33,95.87283444,3193,154,96,1198,0.900562928,52547,52547,7033,11315,14030,16524,11,14,12,0,19,21,0.010045,c__Betaproteobacteria (UID3959),235,211,419,UID3960
DLHZ00000000,UBA7655,SRX242881,Medium,78.07,0,0,Nitrospira sp. UBA7655 [genus],,,,,3867077,56.32573401,411.18,100.0142421,5288,246,134,4052,0.867072986,127006,149331,15698,28858,29944,42897,11,2,16,0,37,38,0.001314,k__Bacteria (UID203),5449,57,103,UID3195
