DDBJ/ENA/GenBank Accession,UBA Genome ID,SRA Bin ID,Genome Quality,CheckM Completeness,CheckM Contamination,CheckM Strain Heterogeneity,NCBI Organism Name,SSU Length (bp),SSU Percent Identity (top hit),SSU SILVA Taxonomy (top hit),SSU Top Hit in SILVA,Genome Size (bp),GC,Coverage,Bases >5x Coverage (%),No. Ambiguous Bases,No. Contigs,No. Scaffolds,No. Predicted Genes,Coding density,Longest Contig (bp),Longest Scaffold (bp),Mean Contig Length (bp),Mean Scaffold Length (bp),N50 (contigs),N50 (scaffolds),Translation Table,Scaffolds Removed by Filtering,Standard tRNAs,Selenocysteine tRNAs (TCA),tRNAs Decoding Standard 20 AA,Total tRNAs,Percent PG (relative to NCBI genomes),CheckM Marker Lineage,CheckM # genomes,CheckM # marker sets,CheckM # markers,CheckM Insertion Branch ID
DAQG00000000,UBA1,SRX993396,Near complete,98.85,1.32,40,Methanosaeta harundinacea UBA1 [species],1363,98.458,Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosaetaceae;Methanosaeta;Methanosaeta harundinacea 6Ac,CP003117.797321.798795,2512329,55.49516007,25.82,99.95311124,0,125,125,2467,0.855590172,91938,91938,20098,20098,26478,26478,11,5,18,0,39,39,0.031426,p__Euryarchaeota (UID49),95,152,227,UID58
DAQH00000000,UBA2,SRX993396,Medium,89.22,0,0,Methanomicrobiaceae archaeon UBA2 [family],735,95.089,Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;uncultured;uncultured archaeon,AY835412.1.1433,1203300,54.56034831,14.74,99.01751026,234,95,93,1379,0.901272334,42278,42278,12663,12938,17388,17531,11,6,17,0,37,37,0.157466,p__Euryarchaeota (UID54),90,153,234,UID82
DAMY00000000,UBA3,ERX556017,Partial,52.1,0,0,Euryarchaeota archaeon UBA3 [phylum],,,,,950302,51.32685699,381.77,100.008145,41764,180,57,899,0.840879005,28828,67871,5047,16671,12206,26296,11,12,15,0,21,21,0.166458,p__Euryarchaeota (UID3),148,125,188,UID139
DAFQ00000000,UBA4,ERX556017,Partial,55.47,0,0,Euryarchaeota archaeon UBA4 [phylum],,,,,925674,51.68047015,241.4,100.0041011,23486,123,59,840,0.898793744,53122,86085,7334,15689,14473,28746,11,4,15,0,28,28,0.155902,p__Euryarchaeota (UID3),148,125,188,UID139
DAVG00000000,UBA5,DRX011531,Near complete,98.69,0.33,0,Methanosarcina sp. UBA5 [genus],,,,,3816059,40.15608292,25.27,99.97545635,2445,174,137,3347,0.723439024,197811,201317,21917,27854,47642,50613,11,15,19,0,60,64,0.014313,p__Euryarchaeota (UID49),95,153,228,UID62
DAVH00000000,UBA6,DRX011531,Near complete,97.31,0.81,0,Methanomassiliicoccus sp. UBA6 [genus],1452,98.688,Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Thermoplasmatales Incertae Sedis;Methanomassiliicoccus;uncultured archaeon,KF254836.1.912,2371532,62.75719313,10.68,95.05122969,2398,113,70,2510,0.881606489,119060,119078,20965,33879,46502,59274,11,1,19,0,40,41,0.080772,p__Euryarchaeota (UID3),148,124,187,UID140
DAQQ00000000,UBA7,DRX011532,Medium,88.99,0.65,50,Methanosarcina sp. UBA7 [genus],,,,,4291782,39.09644423,43.29,99.96120284,10541,442,294,3630,0.715360193,52051,82743,9686,14597,13973,20596,11,7,19,0,40,43,0.006694,p__Euryarchaeota (UID49),95,153,228,UID62
DADN00000000,UBA8,DRX011532,Medium,80.93,3.2,0,Methanobacterium sp. UBA8 [genus],,,,,2989849,32.96161207,8.76,89.98725489,14591,557,323,3348,0.760732398,42361,80984,5341,9256,10034,14822,11,29,15,0,31,33,0.018398,p__Euryarchaeota (UID3),148,125,188,UID46
DANH00000000,UBA9,ERX556127,Medium,71.22,1.6,0,Euryarchaeota archaeon UBA9 [phylum],,,,,1301216,38.01867711,29.92,99.94036199,33568,210,117,1199,0.884775472,38646,56820,6036,11121,10388,16717,11,1,15,0,30,30,0.188589,p__Euryarchaeota (UID3),148,125,188,UID139
DAGO00000000,UBA10,ERX556126,Medium,75.09,0,0,Euryarchaeota archaeon UBA10 [phylum],,,,,1714656,44.90818437,148.16,99.98153572,73650,338,136,1522,0.83978419,58822,81187,4855,12607,8372,18969,11,0,17,0,33,33,0.161224,p__Euryarchaeota (UID3),148,125,188,UID139
