DDBJ/ENA/GenBank Accession,UBA Genome ID,SRA Bin ID,Genome Quality,CheckM Completeness,CheckM Contamination,CheckM Strain Heterogeneity,NCBI Organism Name,SSU Length (bp),SSU Percent Identity (top hit),SSU SILVA Taxonomy (top hit),SSU Top Hit in SILVA,Genome Size (bp),GC,Coverage,Bases >5x Coverage (%),No. Ambiguous Bases,No. Contigs,No. Scaffolds,No. Predicted Genes,Coding density,Longest Contig (bp),Longest Scaffold (bp),Mean Contig Length (bp),Mean Scaffold Length (bp),N50 (contigs),N50 (scaffolds),Translation Table,Scaffolds Removed by Filtering,Standard tRNAs,Selenocysteine tRNAs (TCA),tRNAs Decoding Standard 20 AA,Total tRNAs,Percent PG (relative to NCBI genomes),CheckM Marker Lineage,CheckM # genomes,CheckM # marker sets,CheckM # markers,CheckM Insertion Branch ID
DBAS00000000,UBA1004,ERX556000,Near complete,93.01,1.08,25,Halomonas salina [species],,,,,4816118,64.1861101,18.75,99.72176356,54700,334,161,4157,0.850519859,96087,109234,14255,29913,28964,44032,11,11,17,0,40,46,0,c__Gammaproteobacteria (UID4444),263,232,506,UID4450
DCDQ00000000,UBA1051,SRX822957,Near complete,99.56,0.1,0,Escherichia coli [species],,,,,4643358,50.74814104,22.71,99.99763018,1653,50,38,4350,0.886275622,845572,845572,92834,122193,157841,191181,11,0,18,1,72,74,0,f__Enterobacteriaceae (UID5162),88,328,1207,UID5206
DCDP00000000,UBA1052,SRX822957,Near complete,95.05,0.73,20,Stenotrophomonas maltophilia [species],,,,,4447374,67.3648105,16.98,99.97012449,29039,316,136,4076,0.878534839,156331,305116,13982,32701,24851,53688,11,2,19,0,57,57,0.001051,f__Xanthomonadaceae (UID4214),55,290,659,UID4232
DCDN00000000,UBA1054,SRX822954,Near complete,97.07,0.45,0,Corynebacteriaceae bacterium UBA1054 [family],,,,,2920109,67.64490365,340.44,99.45082395,3740,101,64,2739,0.905592908,177676,259132,28874,45626,60726,74806,11,1,19,0,50,50,0,o__Actinomycetales (UID1809),267,222,400,UID1942
DCCF00000000,UBA1088,ERX556137,Near complete,90.26,2.23,40,Alteromonas macleodii [species],,,,,4709164,44.59723107,28.85,99.96957009,52561,502,357,4253,0.85311533,88679,99494,9276,13190,14610,18784,11,12,15,0,38,38,0,c__Gammaproteobacteria (UID4761),52,297,693,UID4782
DCAQ00000000,UBA1129,SRX1075081,Near complete,100,0.92,40,Halomonas titanicae [species],,,,,5216140,54.78884179,388.46,100.0008828,5663,98,57,4821,0.896316817,303544,305912,53168,91511,128332,143952,11,56,19,0,57,57,0,c__Gammaproteobacteria (UID4444),263,232,506,UID4459
DCES00000000,UBA1145,SRX1075082,Near complete,97.08,1.8,0,Marinobacter hydrocarbonoclasticus [species],,,,,4118373,57.47142816,14.19,98.24326992,20020,253,73,3842,0.901391399,197794,436230,16199,56416,56074,159822,11,0,17,0,37,38,0,c__Gammaproteobacteria (UID4444),263,232,507,UID4470
DBZZ00000000,UBA1147,SRX1075082,Medium,87.87,2.64,17.65,Methylococcaceae bacterium UBA1147 [family],631,99.608,Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;IheB2-23;uncultured bacterium,HQ673281.1.1514,2135350,53.12191775,8.34,97.41723188,30554,343,90,2125,0.811430913,68908,113436,6136,23726,12156,39217,11,1,16,0,31,32,0.016517,c__Gammaproteobacteria (UID4274),112,290,581,UID4288
DBZH00000000,UBA1165,SRX823173,Near complete,98.12,0.72,0,Leclercia adecarboxylata [species],,,,,4705166,55.7108573,24.47,99.89643319,5784,109,47,4345,0.886213366,288354,516724,43113,100109,80281,188108,11,60,17,1,61,62,0,f__Enterobacteriaceae (UID5124),134,336,1173,UID5131
DBZE00000000,UBA1168,SRX822604,Near complete,97.44,0.14,0,Pseudomonas stutzeri [species],,,,,4419194,61.69018363,36.73,99.99929826,1603,35,23,4077,0.893593945,712575,782379,126216,192138,260142,398253,11,0,17,0,47,47,0.000071,c__Gammaproteobacteria (UID4445),228,244,583,UID4504
DBZD00000000,UBA1169,SRX822605,Medium,82.75,0,0,Pseudomonas stutzeri [species],,,,,3803039,62.90825272,52.14,99.99805372,921,21,15,3538,0.897479358,464865,852388,181053,253535,308446,371705,11,1,19,0,49,49,0.000348,c__Gammaproteobacteria (UID4445),228,244,583,UID4503
DBZC00000000,UBA1170,SRX822602,Near complete,98.6,0.47,0,Achromobacter sp. UBA1170 [genus],,,,,6309374,65.07188814,75.73,99.99973049,1727,27,18,5844,0.908987484,1183378,1183378,233616,350520,509735,651844,11,0,18,0,51,51,0,o__Burkholderiales (UID4000),193,214,427,UID4162
DBZB00000000,UBA1171,SRX822602,Medium,86.95,0.96,50,Pseudomonas stutzeri [species],,,,,3595390,64.38764867,9.34,94.33528634,59642,751,381,3693,0.855024351,30956,59768,4708,9436,8324,12285,11,4,17,0,36,37,0.000293,c__Gammaproteobacteria (UID4445),228,244,583,UID4500
DBUS00000000,UBA1284,SRX822731,Near complete,98.48,0.04,0,Leclercia sp. UBA1284 [genus],,,,,4349484,55.10004049,85.7,100,195,11,9,4043,0.893797517,1742192,2407579,395389,483276,665299,2407579,11,0,18,1,66,67,0,f__Enterobacteriaceae (UID5124),134,336,1173,UID5131
DBUR00000000,UBA1285,SRX822731,Near complete,99.31,0.34,100,Stenotrophomonas maltophilia [species],,,,,4448834,66.50359657,20.11,99.97203097,8208,96,43,4061,0.892923854,308097,747366,46256,103461,85586,185186,11,0,19,0,65,67,0,f__Xanthomonadaceae (UID4214),55,290,659,UID4237
DBUQ00000000,UBA1286,SRX822736,Near complete,99.38,0.5,0,Pseudomonas stutzeri [species],,,,,4683954,63.95031752,171.48,99.92324432,2867,72,51,4436,0.897224866,380475,380475,65015,91842,149655,149655,11,2,17,0,45,46,0,c__Gammaproteobacteria (UID4445),228,243,580,UID4501
DBUK00000000,UBA1292,SRX822735,Medium,88.33,0.14,0,Pseudomonas stutzeri [species],,,,,3709945,64.65153425,218.97,99.99967644,1173,16,9,3425,0.905893484,678399,764615,231798,412216,468078,662107,11,1,17,0,32,33,0,c__Gammaproteobacteria (UID4445),228,244,583,UID4502
DBUH00000000,UBA1295,SRX822737,Partial,65.67,0,0,Leclercia adecarboxylata [species],,,,,4091387,55.86244259,29.61,99.90968203,49002,825,210,4398,0.840070861,48467,94200,4899,19482,9037,28136,11,11,16,1,38,39,0,k__Bacteria (UID203),5449,58,104,UID5131
DBUE00000000,UBA1298,SRX822737,Medium,83.37,0.34,0,Stenotrophomonas maltophilia [species],,,,,3890300,66.01407942,13.37,94.18295075,22669,701,453,3939,0.877193276,34764,36316,5517,8587,9460,11506,11,4,19,0,44,44,0,f__Xanthomonadaceae (UID4214),55,290,659,UID4231
DBUC00000000,UBA1300,SRX822738,Medium,83.74,0,0,Pseudomonas stutzeri [species],,,,,3913239,60.04701779,90.93,99.99861998,252,24,23,3619,0.886053216,553533,553533,163041,170140,407176,407176,11,2,16,0,43,43,0.001483,c__Gammaproteobacteria (UID4445),228,244,583,UID4507
DBSL00000000,UBA1343,SRX144200,Near complete,95.8,1.08,0,Oblitimonas sp. UBA1343 [genus],,,,,2941135,48.70018662,21.55,99.24717649,11099,264,100,2726,0.860946539,92991,115824,11098,29411,23330,48111,11,1,18,1,39,40,0.001741,c__Gammaproteobacteria (UID4444),263,232,507,UID4489
DBSC00000000,UBA1352,SRX822427,Near complete,98.58,0.33,0,Enterobacter hormaechei [species],,,,,4625944,55.54535533,40.81,99.99310295,776,40,32,4298,0.899164581,1070750,1070760,115629,144560,228251,230249,11,0,18,1,57,58,0,f__Enterobacteriaceae (UID5124),134,336,1173,UID5132
DBRZ00000000,UBA1355,SRX822426,Near complete,99.59,0.48,0,Pseudomonas stutzeri [species],1439,99.444,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas stutzeri DSM 10701,CP003725.962133.963667,4131116,63.21403556,108.99,99.9958085,3713,55,37,3805,0.88734158,432913,517150,75043,111651,136462,146578,11,1,18,0,48,50,0.000267,c__Gammaproteobacteria (UID4445),228,244,583,UID4506
DBRY00000000,UBA1356,SRX822424,Near complete,99.59,0.48,0,Pseudomonas stutzeri [species],,,,,4463583,63.21204472,88.98,99.98697517,2873,41,28,4100,0.889176924,486661,486661,108797,159413,224377,231547,11,70,17,0,46,46,0.000075,c__Gammaproteobacteria (UID4445),228,244,583,UID4506
DBQX00000000,UBA1383,ERX250271,Near complete,97.08,2.78,0,Actinomycetales bacterium UBA1383 [order],,,,,3057583,71.252632,43.48,99.86776604,2392,182,141,2906,0.922748131,176388,222891,16786,21684,34854,38636,11,7,20,0,43,43,0.013167,p__Actinobacteria (UID1454),732,120,206,UID1530
DBPQ00000000,UBA1416,ERX250271,Medium,89.94,0.56,0,Actinomycetales bacterium UBA1416 [order],,,,,2979416,70.86106691,17.59,99.10947868,3631,234,157,2924,0.912622138,87857,91568,12717,18977,24341,34523,11,13,20,0,40,41,0.013319,p__Actinobacteria (UID1454),732,120,206,UID1530
DCTA00000000,UBA1452,SRX822423,Near complete,99.41,0.79,25,Pseudomonas stutzeri [species],,,,,4373887,63.00420443,282.36,100.0006404,1355,45,35,4016,0.890084266,372820,372829,97167,124968,143672,182155,11,0,17,0,43,44,0.000193,c__Gammaproteobacteria (UID4445),228,244,583,UID4506
DCSZ00000000,UBA1453,SRX822420,Near complete,97.37,0.68,0,Pseudomonas stutzeri [species],,,,,4162881,63.26605976,78.51,99.98829168,3447,78,60,3855,0.889590646,226561,258489,53326,69381,99452,113943,11,0,17,0,43,43,0,c__Gammaproteobacteria (UID4445),228,244,583,UID4506
DCSY00000000,UBA1454,SRX822420,Near complete,98.08,0,0,Serratia marcescens [species],,,,,4859425,59.86791303,24.89,99.93159023,12164,122,54,4505,0.871732767,453377,524048,39731,89989,157019,215537,11,0,18,1,69,72,0,f__Enterobacteriaceae (UID5066),55,224,546,UID5093
DCSR00000000,UBA1461,ERX552348,Near complete,97.88,1.01,0,Idiomarina abyssalis [species],891,98.423,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Idiomarinaceae;Idiomarina;uncultured bacterium,JX391102.1.1504,2804935,46.98503295,15.83,99.64419821,7591,104,25,2684,0.914795887,143833,420051,26897,112197,67400,196786,11,0,19,0,44,44,0,c__Gammaproteobacteria (UID4761),52,297,693,UID4766
DCSK00000000,UBA1468,ERX552341,Medium,74.31,0,0,Pseudomonas stutzeri [species],,,,,3873977,64.13526342,43.8,99.98012278,10257,329,298,3848,0.898941837,79534,79534,11743,12999,17739,17811,11,79,17,0,39,39,0.000189,k__Bacteria (UID203),5449,58,104,UID4497
DCSI00000000,UBA1470,ERX552343,Partial,66.38,0,0,Pseudomonas stutzeri [species],,,,,4052872,63.86941612,36.25,99.97800577,10903,322,292,4003,0.897752261,147484,147484,12552,13879,18230,19396,11,34,17,0,43,44,0.000189,k__Bacteria (UID203),5449,58,104,UID4497
DCSH00000000,UBA1471,ERX552345,Near complete,92.54,0.32,0,Brevundimonas sp. UBA1471 [genus],1044,99.832,Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;Brevundimonas halotolerans,M83810.1.1292,2518585,66.90029991,34.18,99.95594208,10523,109,37,2550,0.90348271,188382,232792,23009,68069,49118,104141,11,2,15,0,35,35,0.006391,c__Alphaproteobacteria (UID3422),26,308,529,UID3439
DCRW00000000,UBA1482,ERX552344,Partial,65.52,0,0,Idiomarina sp. UBA1482 [genus],,,,,2012389,47.48233876,11.98,98.22198949,60657,600,180,1963,0.807775733,25471,58613,3252,11179,6283,16086,11,0,13,0,20,21,0.000485,k__Bacteria (UID203),5449,58,104,UID4766
DCOS00000000,UBA1564,SRX667739,Medium,89.88,0,0,Propionibacterium acnes [species],,,,,2280672,60.20280596,28.61,99.9041528,14565,228,104,2209,0.880630797,94326,96073,9939,21929,20239,36754,11,7,20,0,39,40,0,o__Actinomycetales (UID1530),622,152,259,UID1715
DCOD00000000,UBA1579,SRX822557,Medium,74.55,0.7,42.86,Stenotrophomonas maltophilia [species],,,,,3805250,66.43612967,12.99,96.01432738,36802,629,390,3699,0.870578806,63670,63670,5991,9757,11877,13730,11,13,18,0,52,52,0,f__Xanthomonadaceae (UID4214),55,290,659,UID4239
DCOC00000000,UBA1580,SRX822944,Near complete,99.97,0.32,0,Enterobacter hormaechei [species],,,,,4726684,55.00502025,46.57,99.9985605,2817,65,50,4421,0.894652361,281613,281613,72674,94533,112806,205834,11,0,18,1,67,68,0,f__Enterobacteriaceae (UID5124),134,336,1173,UID5132
