DDBJ/ENA/GenBank Accession,UBA Genome ID,SRA Bin ID,Genome Quality,CheckM Completeness,CheckM Contamination,CheckM Strain Heterogeneity,NCBI Organism Name,SSU Length (bp),SSU Percent Identity (top hit),SSU SILVA Taxonomy (top hit),SSU Top Hit in SILVA,Genome Size (bp),GC,Coverage,Bases >5x Coverage (%),No. Ambiguous Bases,No. Contigs,No. Scaffolds,No. Predicted Genes,Coding density,Longest Contig (bp),Longest Scaffold (bp),Mean Contig Length (bp),Mean Scaffold Length (bp),N50 (contigs),N50 (scaffolds),Translation Table,Scaffolds Removed by Filtering,Standard tRNAs,Selenocysteine tRNAs (TCA),tRNAs Decoding Standard 20 AA,Total tRNAs,Percent PG (relative to NCBI genomes),CheckM Marker Lineage,CheckM # genomes,CheckM # marker sets,CheckM # markers,CheckM Insertion Branch ID
DBST00000000,UBA1335,ERX552238,Medium,73.67,0.89,100,Desulfovibrio sp. UBA1335 [genus],,,,,3058526,53.28884366,15.74,99.47321972,22915,175,107,2967,0.885076995,90777,122616,17346,28584,32661,45957,11,0,17,1,34,35,0.0041,c__Deltaproteobacteria (UID3218),61,169,284,UID3270
DBRD00000000,UBA1377,ERX250271,Near complete,98.08,0.59,0,Desulfovibrionaceae bacterium UBA1377 [family],,,,,2561623,65.38357559,56.84,99.9338198,1945,87,56,2186,0.875098717,263684,263694,29421,45743,49291,68370,11,3,18,1,38,39,0.005548,c__Deltaproteobacteria (UID3218),61,169,284,UID3258
DCWA00000000,UBA2174,SRX327722,Near complete,96.13,1.94,0,Desulfobacteraceae bacterium UBA2174 [family],1562,98.073,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;uncultured;uncultured bacterium,JN685472.1.1556,3857986,62.30681063,965.68,99.99626668,825,56,47,3432,0.874700167,238636,258985,68877,82084,113333,117314,11,27,20,1,46,48,0.018038,c__Deltaproteobacteria (UID3216),83,155,247,UID3222
DCVG00000000,UBA2194,SRX327722,Near complete,95.45,2.73,0,Nitrospiraceae bacterium UBA2194 [family],,,,,2198006,47.94666166,56.05,99.98140187,4237,187,132,2227,0.895683633,66110,66112,11731,16651,19307,25207,11,1,18,1,35,36,0.017556,k__Bacteria (UID3187),2258,110,181,UID3195
DCUN00000000,UBA2213,SRX327722,Partial,58.77,1.75,0,Desulfobulbaceae bacterium UBA2213 [family],,,,,2455673,51.84854855,24.36,99.73022773,6941,327,214,2442,0.869373895,46885,89479,7488,11475,12758,16589,11,14,13,0,25,25,0.010132,k__Bacteria (UID203),5449,57,103,UID3235
DDYV00000000,UBA2225,SRX327722,Near complete,95.86,1.29,0,Desulfobacter sp. UBA2225 [genus],,,,,3868617,47.36675343,16.61,98.03176093,2420,390,357,3740,0.890624996,52971,52973,9913,10836,13545,13967,11,12,15,1,25,27,0.000619,c__Deltaproteobacteria (UID3216),83,155,247,UID3229
DDXK00000000,UBA2262,SRX559894,Medium,89.16,4.96,12.5,Desulfobulbaceae bacterium UBA2262 [family],,,,,2871418,61.69637365,19.86,99.42577146,2003,174,143,2839,0.895531406,98537,98546,16490,20079,29887,32256,11,0,13,0,26,27,0.011136,c__Deltaproteobacteria (UID3217),62,168,280,UID3234
DDXC00000000,UBA2270,SRX559898,Medium,90.75,6.85,85.71,Desulfobulbaceae bacterium UBA2270 [family],,,,,3945729,48.79943075,899.68,99.99312779,2308,190,171,3741,0.865274833,137696,137696,20754,23074,37451,38914,11,4,17,2,35,37,0.009613,c__Deltaproteobacteria (UID3217),62,168,280,UID3235
DDWZ00000000,UBA2273,SRX559898,Near complete,99.34,0.2,0,Desulfobulbaceae bacterium UBA2273 [family],,,,,3195193,57.57231852,308.58,99.97217555,161,37,33,2941,0.887785495,221179,272546,86352,96824,129282,135561,11,23,19,1,45,46,0.011031,c__Deltaproteobacteria (UID3217),62,168,280,UID3234
DDWW00000000,UBA2276,SRX559898,Partial,66.62,1.49,100,Desulfobulbaceae bacterium UBA2276 [family],,,,,1788994,51.37387156,160.31,99.97069849,690,88,68,1649,0.867440025,90489,106055,20321,26308,29898,40304,11,4,12,1,21,22,0.009522,c__Deltaproteobacteria (UID3217),62,168,280,UID3235
