#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
UBA4064_00435        -          dsrA                 -           1.6e-134  456.4   1.2    2e-134  456.0   1.2   1.1   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA5746_03181        -          dsrA                 -           1.6e-134  456.4   1.2    2e-134  456.0   1.2   1.1   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA5605_00802        -          dsrA                 -           7.3e-134  454.2   1.2    1e-133  453.7   1.2   1.2   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA5193_02261        -          dsrA                 -           7.8e-131  444.3   0.7  1.1e-130  443.9   0.7   1.2   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA2174_00973        -          dsrA                 -             8e-131  444.2   0.6  1.1e-130  443.8   0.6   1.2   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA4769_02182        -          dsrA                 -             8e-131  444.2   0.6  1.1e-130  443.8   0.6   1.2   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA2771_01664        -          dsrA                 -           3.2e-130  442.3   1.8  4.6e-130  441.8   1.8   1.2   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA6814_01689        -          dsrA                 -           4.7e-130  441.7   0.5  6.2e-130  441.3   0.5   1.1   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA5623_02617        -          dsrA                 -           6.4e-130  441.3   0.4  9.7e-130  440.7   0.4   1.3   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA4791_02940        -          dsrA                 -           1.3e-129  440.2   0.6  2.1e-129  439.6   0.6   1.3   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA4079_00038        -          dsrA                 -           1.9e-129  439.7   0.7  2.7e-129  439.2   0.7   1.2   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA5852_00790        -          dsrA                 -           2.2e-129  439.5   0.7  3.2e-129  439.0   0.7   1.2   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA5754_00663        -          dsrA                 -           7.5e-129  437.8   2.5  1.1e-128  437.3   2.5   1.2   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA930_01459         -          dsrA                 -           1.6e-128  436.7   0.2  2.6e-128  436.0   0.2   1.3   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA4076_01841        -          dsrA                 -           2.6e-128  436.0   0.4  3.5e-128  435.6   0.4   1.2   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA3572_01702        -          dsrA                 -           4.7e-128  435.2   0.8  6.3e-128  434.8   0.8   1.2   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA5616_03162        -          dsrA                 -           6.5e-128  434.7   0.5  8.7e-128  434.3   0.5   1.2   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA1377_01667        -          dsrA                 -           7.6e-128  434.5   2.2    1e-127  434.1   2.2   1.2   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA2771_02708        -          dsrA                 -             1e-127  434.1   0.9  1.6e-127  433.4   0.9   1.3   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA5616_02254        -          dsrA                 -           2.9e-127  432.6   0.4  4.3e-127  432.0   0.4   1.2   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA6232_00932        -          dsrA                 -           4.9e-127  431.9   0.4  7.1e-127  431.3   0.4   1.2   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA5546_01448        -          dsrA                 -           6.4e-127  431.5   0.5  8.9e-127  431.0   0.5   1.2   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA5821_02521        -          dsrA                 -           6.4e-127  431.5   0.5  8.9e-127  431.0   0.5   1.2   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA5842_02255        -          dsrA                 -           6.4e-127  431.5   0.5  8.9e-127  431.0   0.5   1.2   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA7700_00244        -          dsrA                 -           2.7e-126  429.4   0.2  3.6e-126  429.0   0.2   1.1   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA5619_02075        -          dsrA                 -           1.7e-125  426.8   0.6  2.3e-125  426.4   0.6   1.2   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA5173_00602        -          dsrA                 -           2.1e-125  426.5   3.0  2.7e-125  426.1   3.0   1.1   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
