DDBJ/ENA/GenBank Accession,UBA Genome ID,SRA Bin ID,Genome Quality,CheckM Completeness,CheckM Contamination,CheckM Strain Heterogeneity,NCBI Organism Name,SSU Length (bp),SSU Percent Identity (top hit),SSU SILVA Taxonomy (top hit),SSU Top Hit in SILVA,Genome Size (bp),GC,Coverage,Bases >5x Coverage (%),No. Ambiguous Bases,No. Contigs,No. Scaffolds,No. Predicted Genes,Coding density,Longest Contig (bp),Longest Scaffold (bp),Mean Contig Length (bp),Mean Scaffold Length (bp),N50 (contigs),N50 (scaffolds),Translation Table,Scaffolds Removed by Filtering,Standard tRNAs,Selenocysteine tRNAs (TCA),tRNAs Decoding Standard 20 AA,Total tRNAs,Percent PG (relative to NCBI genomes),CheckM Marker Lineage,CheckM # genomes,CheckM # marker sets,CheckM # markers,CheckM Insertion Branch ID
DBAK00000000,UBA1012,ERX556005,Near complete,93.8,2.97,8.33,Gammaproteobacteria bacterium UBA1012 [class],,,,,5208286,54.46485159,15.3,98.75952825,47185,378,228,4665,0.899878962,141567,142451,13653,22843,22780,35240,11,3,10,0,19,19,0.009648,c__Gammaproteobacteria (UID4443),356,270,451,UID4679
DBAD00000000,UBA1019,ERX1071607,Partial,65.67,1.51,55.56,Ralstonia pickettii [species],,,,,3845874,63.85133078,6.19,92.31527612,3680,406,369,3923,0.892132712,112411,112415,9463,10422,13272,13853,11,10,19,0,42,43,0.000583,f__Burkholderiaceae (UID4003),91,218,596,UID4073
DCDQ00000000,UBA1051,SRX822957,Near complete,99.56,0.1,0,Escherichia coli [species],,,,,4643358,50.74814104,22.71,99.99763018,1653,50,38,4350,0.886275622,845572,845572,92834,122193,157841,191181,11,0,18,1,72,74,0,f__Enterobacteriaceae (UID5162),88,328,1207,UID5206
DCDI00000000,UBA1059,SRX822954,Near complete,90.47,2.27,10,Phyllobacteriaceae bacterium UBA1059 [family],,,,,4199408,61.26322122,9.23,89.9158781,20710,509,274,4449,0.883994363,70324,91818,8209,15326,18685,26675,11,0,19,0,40,41,0.007709,o__Rhizobiales (UID3450),238,244,513,UID3457
DCAF00000000,UBA1140,SRX1075082,Near complete,97.43,2.46,0,Sulfurovum sp. UBA1140 [genus],,,,,2007345,36.19635757,24.18,100.4914217,18015,223,80,2043,0.883759892,68121,115292,8920,25091,19855,33560,11,0,18,0,32,33,0.012105,k__Bacteria (UID3060),138,244,335,UID3167
DBZE00000000,UBA1168,SRX822604,Near complete,97.44,0.14,0,Pseudomonas stutzeri [species],,,,,4419194,61.69018363,36.73,99.99929826,1603,35,23,4077,0.893593945,712575,782379,126216,192138,260142,398253,11,0,17,0,47,47,0.000071,c__Gammaproteobacteria (UID4445),228,244,583,UID4504
DBZD00000000,UBA1169,SRX822605,Medium,82.75,0,0,Pseudomonas stutzeri [species],,,,,3803039,62.90825272,52.14,99.99805372,921,21,15,3538,0.897479358,464865,852388,181053,253535,308446,371705,11,1,19,0,49,49,0.000348,c__Gammaproteobacteria (UID4445),228,244,583,UID4503
DBZC00000000,UBA1170,SRX822602,Near complete,98.6,0.47,0,Achromobacter sp. UBA1170 [genus],,,,,6309374,65.07188814,75.73,99.99973049,1727,27,18,5844,0.908987484,1183378,1183378,233616,350520,509735,651844,11,0,18,0,51,51,0,o__Burkholderiales (UID4000),193,214,427,UID4162
DBUQ00000000,UBA1286,SRX822736,Near complete,99.38,0.5,0,Pseudomonas stutzeri [species],,,,,4683954,63.95031752,171.48,99.92324432,2867,72,51,4436,0.897224866,380475,380475,65015,91842,149655,149655,11,2,17,0,45,46,0,c__Gammaproteobacteria (UID4445),228,243,580,UID4501
DBUP00000000,UBA1287,SRX822736,Medium,89.31,0.67,0,Comamonas aquatica [species],,,,,3295239,64.58356908,35.55,98.22550383,7827,318,246,3214,0.865848577,104546,104548,10337,13395,18714,19057,11,10,18,1,57,59,0.000138,f__Comamonadaceae (UID4119),39,323,693,UID4147
